,COUNTYFP,VAP,NAME,WVAP,BVAP,HVAP,TRES14D,TRES14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,TRE14None,TRES14D_pct,TRES14R_pct,TRE14None_pct
125,55005,177,Prairie Farm,175,0,1,41,37,1,177,1.0,0.9887005649717514,0.0,0.005649717514124294,0.005649717514124294,99,0.23163841807909605,0.20903954802259886,0.559322033898305
126,55005,634,Prairie Lake,627,0,2,115,194,5,634,1.0,0.9889589905362776,0.0,0.0031545741324921135,0.007886435331230283,325,0.18138801261829654,0.305993690851735,0.5126182965299685
127,55005,576,Prairie Lake,567,0,2,116,193,7,576,1.0,0.984375,0.0,0.003472222222222222,0.012152777777777778,267,0.2013888888888889,0.3350694444444444,0.4635416666666667
128,55005,384,Rice Lake,362,2,14,70,77,6,384,1.0,0.9427083333333334,0.005208333333333333,0.036458333333333336,0.015625,237,0.18229166666666666,0.20052083333333334,0.6171875
129,55005,769,Rice Lake,732,3,17,132,146,17,769,1.0,0.951885565669701,0.0039011703511053317,0.022106631989596878,0.022106631989596878,491,0.1716514954486346,0.18985695708712613,0.6384915474642393
130,55005,557,Rice Lake,544,1,3,104,115,9,557,1.0,0.9766606822262118,0.0017953321364452424,0.005385996409335727,0.01615798922800718,338,0.1867145421903052,0.20646319569120286,0.6068222621184919
131,55005,555,Rice Lake,536,3,8,102,113,8,555,1.0,0.9657657657657658,0.005405405405405406,0.014414414414414415,0.014414414414414415,340,0.1837837837837838,0.2036036036036036,0.6126126126126126
132,55005,688,Rice Lake,664,2,16,124,138,6,688,1.0,0.9651162790697675,0.0029069767441860465,0.023255813953488372,0.00872093023255814,426,0.18023255813953487,0.2005813953488372,0.6191860465116279
133,55005,411,Rice Lake,402,0,1,84,92,8,411,1.0,0.9781021897810219,0.0,0.0024330900243309003,0.019464720194647202,235,0.20437956204379562,0.22384428223844283,0.5717761557177615
134,55005,369,Rice Lake,355,2,3,68,74,9,369,1.0,0.962059620596206,0.005420054200542005,0.008130081300813009,0.024390243902439025,227,0.1842818428184282,0.2005420054200542,0.6151761517615176
135,55005,484,Rice Lake,467,4,5,92,102,8,484,1.0,0.9648760330578512,0.008264462809917356,0.010330578512396695,0.01652892561983471,290,0.19008264462809918,0.21074380165289255,0.5991735537190083
136,55005,336,Rice Lake,317,4,3,69,76,12,336,1.0,0.9434523809523809,0.011904761904761904,0.008928571428571428,0.03571428571428571,191,0.20535714285714285,0.2261904761904762,0.5684523809523809
137,55005,417,Rice Lake,400,0,6,82,90,11,417,1.0,0.9592326139088729,0.0,0.014388489208633094,0.026378896882494004,245,0.19664268585131894,0.2158273381294964,0.5875299760191847
138,55005,526,Rice Lake,507,1,6,94,103,12,526,1.0,0.9638783269961977,0.0019011406844106464,0.011406844106463879,0.022813688212927757,329,0.17870722433460076,0.1958174904942966,0.6254752851711026
139,55005,781,Rice Lake,744,0,20,136,150,17,781,1.0,0.9526248399487837,0.0,0.02560819462227913,0.02176696542893726,495,0.17413572343149808,0.19206145966709348,0.6338028169014085
140,55005,394,Rice Lake,364,1,18,73,80,11,394,1.0,0.9238578680203046,0.0025380710659898475,0.04568527918781726,0.027918781725888325,241,0.18527918781725888,0.20304568527918782,0.6116751269035533
141,55005,628,Rice Lake,617,0,8,133,166,3,628,1.0,0.982484076433121,0.0,0.012738853503184714,0.004777070063694267,329,0.21178343949044587,0.2643312101910828,0.5238853503184714
142,55005,587,Rice Lake,574,0,5,125,157,8,587,1.0,0.9778534923339012,0.0,0.008517887563884156,0.013628620102214651,305,0.21294718909710392,0.2674616695059625,0.5195911413969335
143,55005,649,Rice Lake,616,2,18,139,174,13,649,1.0,0.9491525423728814,0.0030816640986132513,0.02773497688751926,0.020030816640986132,336,0.21417565485362094,0.26810477657935283,0.5177195685670262
144,55005,505,Rice Lake,479,1,21,111,139,4,505,1.0,0.9485148514851485,0.0019801980198019802,0.041584158415841586,0.007920792079207921,255,0.2198019801980198,0.27524752475247527,0.504950495049505
145,55005,471,Sioux Creek,467,1,1,74,140,2,471,1.0,0.9915074309978769,0.0021231422505307855,0.0021231422505307855,0.004246284501061571,257,0.15711252653927812,0.29723991507430997,0.5456475583864119
