,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
324,Cecil,2543,Cecil Precinct 06-002,2437,25,31,80,14,105,50,2543,1,0.9583169484860401,0.009830908375933936,0.01219032638615808,0.019661816751867872,2344,0.031458906802988594,0.005505308690523005,0.04128981517892253,0.9217459693275659
325,Cecil,1360,Cecil Precinct 07-003,1200,108,10,28,11,27,42,1360,1,0.8823529411764706,0.07941176470588235,0.007352941176470588,0.030882352941176472,1294,0.020588235294117647,0.008088235294117648,0.019852941176470587,0.9514705882352941
326,Cecil,4824,Cecil Precinct 07-002,4018,536,135,127,42,154,135,4824,1,0.8329187396351575,0.1111111111111111,0.027985074626865673,0.027985074626865673,4501,0.026326699834162522,0.008706467661691543,0.031923714759535655,0.9330431177446102
327,Cecil,5437,Cecil Precinct 06-001,5216,28,111,89,30,116,82,5437,1,0.9593525841456686,0.005149898841272761,0.02041567040647416,0.015081846606584513,5202,0.016369321316902705,0.0055177487585065296,0.02133529519955858,0.9567776347250322
328,Talbot,3502,Talbot Precinct 04-001,3079,316,59,99,24,111,48,3502,1,0.8792118789263278,0.09023415191319246,0.01684751570531125,0.013706453455168474,3268,0.02826956025128498,0.006853226727584237,0.0316961736150771,0.9331810394060537
329,Caroline,1679,Caroline Precinct 06-001,1505,106,34,45,18,47,34,1679,1,0.8963668850506253,0.0631328171530673,0.02025014889815366,0.02025014889815366,1569,0.026801667659321026,0.01072066706372841,0.02799285288862418,0.9344848123883264
330,Queen Anne's,1487,Queen Anne's Precinct 06-001,1354,66,43,49,14,46,24,1487,1,0.9105581708137189,0.04438466711499664,0.028917283120376596,0.01613987895090787,1378,0.03295225285810356,0.00941492938802959,0.03093476798924008,0.9266980497646268
331,Caroline,5431,Caroline Precinct 03-001,4422,804,101,96,40,137,104,5431,1,0.8142146934266249,0.14803903516847727,0.01859694347265697,0.01914932793224084,5158,0.01767630270668385,0.0073651261277849385,0.025225556987663413,0.9497330141778678
332,Caroline,2698,Caroline Precinct 07-001,2113,438,102,47,21,79,45,2698,1,0.7831727205337287,0.16234247590808007,0.03780578206078577,0.016679021497405487,2551,0.017420311341734617,0.007783543365455893,0.02928094885100074,0.9455151964418087
333,Caroline,4170,Caroline Precinct 02-001,3650,305,154,68,29,100,61,4170,1,0.8752997601918465,0.07314148681055156,0.036930455635491605,0.014628297362110312,3973,0.01630695443645084,0.006954436450839328,0.023980815347721823,0.952757793764988
334,Kent,1602,Kent Precinct 02-001,1238,180,171,74,20,61,13,1602,1,0.7727840199750312,0.11235955056179775,0.10674157303370786,0.008114856429463172,1447,0.046192259675405745,0.012484394506866416,0.038077403245942575,0.9032459425717853
335,Queen Anne's,2401,Queen Anne's Precinct 07-001,2007,274,74,84,25,83,46,2401,1,0.8359017076218243,0.11411911703456892,0.030820491461890878,0.019158683881715953,2209,0.03498542274052478,0.010412328196584756,0.03456892961266139,0.920033319450229
336,Queen Anne's,2015,Queen Anne's Precinct 01-001,1735,104,150,50,15,54,26,2015,1,0.8610421836228288,0.05161290322580645,0.07444168734491315,0.012903225806451613,1896,0.02481389578163772,0.007444168734491315,0.026799007444168736,0.9409429280397023
337,Caroline,2467,Caroline Precinct 01-001,1711,111,596,31,6,42,49,2467,1,0.6935549250101337,0.0449939197405756,0.24158897446291042,0.019862180786380218,2388,0.01256586947709769,0.0024321037697608433,0.017024726388325903,0.9679773003648156
338,Kent,1324,Kent Precinct 01-001,1011,171,110,37,13,40,32,1324,1,0.763595166163142,0.12915407854984895,0.08308157099697885,0.02416918429003021,1234,0.027945619335347432,0.009818731117824773,0.030211480362537766,0.93202416918429
339,Cecil,3990,Cecil Precinct 01-001,3666,175,98,110,38,144,51,3990,1,0.9187969924812031,0.043859649122807015,0.02456140350877193,0.012781954887218045,3698,0.02756892230576441,0.009523809523809525,0.03609022556390978,0.9268170426065163
548,Talbot,3288,Talbot Precinct 01-005,2835,251,137,87,33,99,65,3288,1,0.8622262773722628,0.076338199513382,0.041666666666666664,0.019768856447688565,3069,0.02645985401459854,0.010036496350364963,0.030109489051094892,0.9333941605839416
549,Queen Anne's,1965,Queen Anne's Precinct 05-001,1696,190,48,78,19,76,31,1965,1,0.8631043256997456,0.09669211195928754,0.024427480916030534,0.015776081424936386,1792,0.03969465648854962,0.009669211195928753,0.03867684478371501,0.9119592875318067
550,Kent,2183,Kent Precinct 05-001,1951,195,20,127,25,111,17,2183,1,0.8937242327072835,0.08932661475034356,0.009161704076958314,0.007787448465414567,1920,0.058176820888685296,0.011452130096197893,0.05084745762711865,0.8795235913879982
551,Kent,1510,Kent Precinct 06-001,1162,290,35,68,14,70,23,1510,1,0.7695364238410596,0.19205298013245034,0.023178807947019868,0.015231788079470199,1358,0.045033112582781455,0.009271523178807948,0.046357615894039736,0.8993377483443709
552,Kent,1044,Kent Precinct 07-001,813,207,10,61,13,62,14,1044,1,0.7787356321839081,0.19827586206896552,0.009578544061302681,0.013409961685823755,908,0.05842911877394636,0.012452107279693486,0.05938697318007663,0.8697318007662835
553,Kent,1669,Kent Precinct 04-002,1050,488,79,82,20,86,52,1669,1,0.6291192330736968,0.2923906530856801,0.04733373277411624,0.03115638106650689,1481,0.04913121629718394,0.011983223487118035,0.05152786099460755,0.8873576992210904
554,Kent,1589,Kent Precinct 03-001,1256,291,25,69,21,77,17,1589,1,0.790434235368156,0.1831340465701699,0.015733165512901194,0.010698552548772814,1422,0.0434235368156073,0.013215859030837005,0.048458149779735685,0.89490245437382
555,Kent,3343,Kent Precinct 04-001,2785,369,92,167,25,122,97,3343,1,0.833084056236913,0.11037989829494466,0.02752019144481005,0.029015854023332337,3029,0.04995513012264433,0.007478312892611427,0.03649416691594376,0.9060723900688005
614,Queen Anne's,2329,Queen Anne's Precinct 04-006,2231,24,10,114,29,94,64,2329,1,0.9579218548733361,0.010304851867754402,0.004293688278231,0.027479604980678404,2092,0.048948046371833406,0.0124516960068699,0.040360669815371404,0.8982395878059253
615,Queen Anne's,2722,Queen Anne's Precinct 04-001,2538,69,57,97,17,81,58,2722,1,0.9324026451138868,0.025349008082292433,0.02094048493754592,0.0213078618662748,2527,0.035635562086700955,0.006245407788390889,0.029757531227038943,0.9283614988978692
745,Dorchester,352,Dorchester Precinct 03-002,175,163,6,9,10,19,8,352,1,0.4971590909090909,0.4630681818181818,0.017045454545454544,0.022727272727272728,314,0.02556818181818182,0.028409090909090908,0.05397727272727273,0.8920454545454546
746,Wicomico,723,Wicomico Precinct 01-002,643,50,16,20,17,41,14,723,1,0.8893499308437067,0.06915629322268327,0.022130013831258646,0.019363762102351315,645,0.027662517289073305,0.02351313969571231,0.056708160442600276,0.8921161825726142
747,Dorchester,2143,Dorchester Precinct 14-001,1953,113,39,23,15,50,38,2143,1,0.9113392440503967,0.05272981801213252,0.018198786747550162,0.01773215118992067,2055,0.010732617825478302,0.006999533364442371,0.02333177788147457,0.9589360709286048
748,Dorchester,1584,Dorchester Precinct 02-001,1461,76,34,28,14,48,13,1584,1,0.9223484848484849,0.047979797979797977,0.021464646464646464,0.008207070707070708,1494,0.017676767676767676,0.008838383838383838,0.030303030303030304,0.9431818181818182
749,Dorchester,445,Dorchester Precinct 02-002,249,188,2,8,15,15,6,445,1,0.5595505617977528,0.42247191011235957,0.0044943820224719105,0.01348314606741573,407,0.017977528089887642,0.033707865168539325,0.033707865168539325,0.9146067415730337
750,Dorchester,2140,Dorchester Precinct 15-001,1678,361,65,51,16,73,36,2140,1,0.7841121495327102,0.16869158878504673,0.030373831775700934,0.016822429906542057,2000,0.02383177570093458,0.007476635514018692,0.03411214953271028,0.9345794392523364
751,Caroline,3115,Caroline Precinct 04-001,2572,460,42,69,12,106,41,3115,1,0.8256821829855537,0.1476725521669342,0.01348314606741573,0.013162118780096307,2928,0.022150882825040127,0.0038523274478330658,0.034028892455858745,0.9399678972712681
752,Dorchester,1210,Dorchester Precinct 15-003,472,659,42,28,40,62,37,1210,1,0.39008264462809916,0.5446280991735537,0.03471074380165289,0.030578512396694214,1080,0.023140495867768594,0.03305785123966942,0.0512396694214876,0.8925619834710744
753,Dorchester,1557,Dorchester Precinct 01-001,1369,129,32,35,13,29,27,1557,1,0.8792549775208734,0.08285163776493257,0.020552344251766216,0.017341040462427744,1480,0.0224791265253693,0.008349389852280027,0.018625561978163133,0.9505459216441875
754,Dorchester,128,Dorchester Precinct 15-002,105,19,4,1,0,5,0,128,1,0.8203125,0.1484375,0.03125,0.0,122,0.0078125,0.0,0.0390625,0.953125
755,Dorchester,506,Dorchester Precinct 12-002,213,275,8,10,6,10,10,506,1,0.4209486166007905,0.5434782608695652,0.015810276679841896,0.019762845849802372,480,0.019762845849802372,0.011857707509881422,0.019762845849802372,0.9486166007905138
756,Dorchester,387,Dorchester Precinct 12-001,270,91,12,8,4,8,14,387,1,0.6976744186046512,0.2351421188630491,0.031007751937984496,0.03617571059431524,367,0.020671834625323,0.0103359173126615,0.020671834625323,0.9483204134366925
757,Caroline,3507,Caroline Precinct 05-001,2406,938,83,43,21,72,80,3507,1,0.6860564585115483,0.26746506986027946,0.023666951810664385,0.02281151981750784,3371,0.012261191901910464,0.005988023952095809,0.020530367835757058,0.9612204163102367
