Precinct,ANNISSA ESSAIBI GEORGE,RICHARD A SPAGNUOLO,ANDREA JOY CAMPBELL,KIM M JANEY,MICHELLE WU,JON SANTIAGO,ROBERT CAPPUCCI,JOHN F BARROS,Total Votes,Unresolved Write-In
"WARD 21, PRECINCT 13",67.0,2.0,58.0,154.0,229.0,2.0,10.0,7.0,529.0,0.0
"WARD 21, PRECINCT 14",16.0,0.0,38.0,16.0,93.0,0.0,2.0,6.0,171.0,0.0
"WARD 21, PRECINCT 15",13.0,2.0,38.0,17.0,150.0,1.0,1.0,1.0,223.0,0.0
"WARD 21, PRECINCT 16",46.0,0.0,93.0,49.0,189.0,2.0,6.0,13.0,398.0,0.0
"WARD 21, PRECINCT 2",4.0,0.0,12.0,2.0,25.0,1.0,0.0,2.0,46.0,0.0
"WARD 21, PRECINCT 3",12.0,0.0,26.0,15.0,92.0,1.0,0.0,6.0,152.0,0.0
"WARD 21, PRECINCT 4",12.0,0.0,23.0,11.0,83.0,0.0,0.0,1.0,130.0,0.0
"WARD 21, PRECINCT 5",11.0,0.0,46.0,21.0,146.0,0.0,1.0,10.0,235.0,0.0
"WARD 21, PRECINCT 6",33.0,1.0,47.0,25.0,145.0,1.0,4.0,8.0,264.0,0.0
"WARD 21, PRECINCT 7",27.0,1.0,54.0,31.0,146.0,3.0,3.0,5.0,270.0,0.0
"WARD 21, PRECINCT 8",12.0,2.0,61.0,31.0,171.0,0.0,3.0,4.0,284.0,0.0
"WARD 21, PRECINCT 9",37.0,1.0,65.0,39.0,158.0,0.0,3.0,6.0,309.0,0.0
"WARD 22, PRECINCT 1",71.0,1.0,64.0,37.0,187.0,0.0,6.0,8.0,374.0,0.0
"WARD 22, PRECINCT 10",74.0,1.0,55.0,45.0,207.0,1.0,5.0,13.0,402.0,1.0
"WARD 22, PRECINCT 11",77.0,0.0,37.0,17.0,135.0,0.0,4.0,3.0,273.0,0.0
"WARD 22, PRECINCT 12",112.0,0.0,39.0,30.0,126.0,0.0,6.0,4.0,317.0,0.0
"WARD 22, PRECINCT 13",61.0,0.0,33.0,19.0,109.0,0.0,6.0,6.0,235.0,1.0
"WARD 22, PRECINCT 2",65.0,0.0,64.0,46.0,277.0,1.0,10.0,9.0,472.0,0.0
"WARD 22, PRECINCT 3",91.0,0.0,69.0,40.0,208.0,0.0,6.0,5.0,419.0,0.0
"WARD 22, PRECINCT 4",56.0,3.0,58.0,33.0,190.0,1.0,8.0,9.0,359.0,1.0
"WARD 22, PRECINCT 5",36.0,1.0,38.0,20.0,108.0,0.0,8.0,2.0,213.0,0.0
"WARD 22, PRECINCT 6",48.0,1.0,47.0,20.0,110.0,2.0,3.0,8.0,239.0,0.0
"WARD 22, PRECINCT 7",75.0,0.0,70.0,28.0,204.0,2.0,8.0,6.0,393.0,0.0
"WARD 22, PRECINCT 8",63.0,0.0,34.0,23.0,161.0,0.0,8.0,10.0,299.0,0.0
"WARD 22, PRECINCT 9",58.0,1.0,49.0,30.0,146.0,1.0,9.0,4.0,298.0,0.0
"WARD 3, PRECINCT 1",267.0,26.0,147.0,72.0,324.0,4.0,13.0,24.0,878.0,1.0
