,COUNTYFP20,VAP,Precinct,WVAP,BVAP,HVAP,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,BMAY21PNone,BMAY21PAG_pct,BMAY21PAC_pct,BMAY21PKJ_pct,BMAY21PMW_pct,BMAY21PNone_pct
1247,025,2244,"WARD 2, PRECINCT 7",1758,74,132,213,74,46,183,280,2244,1,0.7834224598930482,0.03297682709447415,0.058823529411764705,0.12477718360071301,1728,0.09491978609625669,0.03297682709447415,0.020499108734402853,0.08155080213903744,0.7700534759358288
1248,025,13099,"WARD 3, PRECINCT 8",6121,664,1008,162,189,342,743,5306,13099,1,0.4672875792045194,0.05069089243453699,0.07695243911748989,0.4050690892434537,11663,0.012367356286739446,0.014428582334529353,0.026108863272005498,0.05672188716695931,0.8903733109397663
1249,025,2476,"WARD 18, PRECINCT 18",573,1082,680,132,61,187,142,141,2476,1,0.231421647819063,0.4369951534733441,0.27463651050080773,0.05694668820678514,1954,0.05331179321486268,0.024636510500807753,0.07552504038772213,0.05735056542810985,0.7891760904684976
1250,025,1289,"WARD 19, PRECINCT 3",1011,46,70,25,145,55,245,162,1289,1,0.7843289371605896,0.035686578743211794,0.05430566330488751,0.1256788207913111,819,0.019394879751745538,0.11249030256012413,0.04266873545384019,0.19006982156710628,0.6353762606671839
1251,025,1140,"WARD 16, PRECINCT 2",566,96,90,139,41,21,78,388,1140,1,0.4964912280701754,0.08421052631578947,0.07894736842105263,0.34035087719298246,861,0.12192982456140351,0.035964912280701755,0.018421052631578946,0.06842105263157895,0.7552631578947369
1252,025,5358,"WARD 3, PRECINCT 5",3433,200,379,151,174,109,402,1346,5358,1,0.6407241508025383,0.03732736095558044,0.07073534901082494,0.25121313923105637,4522,0.028182157521463233,0.032474804031354984,0.02034341172079134,0.07502799552071669,0.8439716312056738
1253,025,2508,"WARD 1, PRECINCT 4",1027,92,1142,51,35,40,73,247,2508,1,0.4094896331738437,0.03668261562998405,0.45534290271132377,0.09848484848484848,2309,0.02033492822966507,0.013955342902711323,0.01594896331738437,0.029106858054226477,0.9206539074960127
1254,025,1980,"WARD 1, PRECINCT 1",1273,45,484,85,92,49,152,178,1980,1,0.6429292929292929,0.022727272727272728,0.24444444444444444,0.0898989898989899,1602,0.04292929292929293,0.046464646464646465,0.024747474747474747,0.07676767676767676,0.8090909090909091
1255,025,2225,"WARD 20, PRECINCT 17",1737,72,150,458,136,42,256,266,2225,1,0.7806741573033708,0.032359550561797755,0.06741573033707865,0.11955056179775281,1333,0.20584269662921348,0.06112359550561798,0.01887640449438202,0.1150561797752809,0.5991011235955056
1256,025,2145,"WARD 19, PRECINCT 7",1182,196,461,45,192,93,315,306,2145,1,0.551048951048951,0.09137529137529138,0.21491841491841493,0.14265734265734265,1500,0.02097902097902098,0.08951048951048951,0.043356643356643354,0.14685314685314685,0.6993006993006993
1257,025,5977,"WARD 21, PRECINCT 16",4464,319,456,46,93,49,189,738,5977,1,0.7468629747364899,0.053371256483185546,0.07629245440856618,0.1234733143717584,5600,0.007696168646478166,0.015559645307010206,0.008198092688639786,0.031621214656182034,0.9369248787016898
1258,025,1458,"WARD 1, PRECINCT 14",639,129,559,106,20,39,67,131,1458,1,0.4382716049382716,0.08847736625514403,0.3834019204389575,0.08984910836762688,1226,0.07270233196159122,0.013717421124828532,0.026748971193415638,0.045953360768175584,0.840877914951989
1260,025,1804,"WARD 18, PRECINCT 11",383,771,503,41,63,120,106,147,1804,1,0.2123059866962306,0.42738359201773835,0.27882483370288247,0.08148558758314856,1474,0.022727272727272728,0.03492239467849224,0.06651884700665188,0.058758314855875834,0.8170731707317073
1261,025,1824,"WARD 7, PRECINCT 5",1412,54,159,109,45,29,99,199,1824,1,0.7741228070175439,0.029605263157894735,0.08717105263157894,0.10910087719298246,1542,0.05975877192982456,0.024671052631578948,0.015899122807017545,0.054276315789473686,0.8453947368421053
1262,025,1328,"WARD 18, PRECINCT 13",236,642,362,43,46,83,66,88,1328,1,0.17771084337349397,0.48343373493975905,0.27259036144578314,0.06626506024096386,1090,0.03237951807228916,0.03463855421686747,0.0625,0.04969879518072289,0.8207831325301205
1263,025,1832,"WARD 19, PRECINCT 2",1441,99,115,136,215,93,277,177,1832,1,0.7865720524017468,0.05403930131004367,0.06277292576419213,0.09661572052401747,1111,0.07423580786026202,0.11735807860262008,0.05076419213973799,0.15120087336244542,0.6064410480349345
1264,025,3096,"WARD 10, PRECINCT 8",1457,381,396,45,96,83,282,862,3096,1,0.4706072351421189,0.12306201550387597,0.12790697674418605,0.2784237726098191,2590,0.014534883720930232,0.031007751937984496,0.026808785529715762,0.09108527131782945,0.83656330749354
1265,025,4028,"WARD 5, PRECINCT 9",3035,89,284,94,124,36,237,620,4028,1,0.7534756703078451,0.022095332671300892,0.070506454816286,0.15392254220456802,3537,0.02333664349553128,0.030784508440913606,0.00893743793445879,0.05883813306852036,0.878103277060576
1266,025,2111,"WARD 12, PRECINCT 1",197,1184,496,18,64,244,88,234,2111,1,0.09332070108953103,0.5608716248223591,0.23495973472288015,0.11084793936522976,1697,0.008526764566556135,0.030317385125532923,0.11558503079109426,0.04168640454760777,0.8038844149692089
1267,025,3214,"WARD 18, PRECINCT 8",397,1622,976,102,99,348,176,219,3214,1,0.12352209085252022,0.5046670815183572,0.30367143746110764,0.06813939016801493,2489,0.031736154324828875,0.030802738021157437,0.10827629122588675,0.054760423148724334,0.7744243932794026
1268,025,1885,"WARD 21, PRECINCT 6",1026,62,224,33,47,25,145,573,1885,1,0.5442970822281167,0.03289124668435013,0.11883289124668435,0.3039787798408488,1635,0.01750663129973475,0.02493368700265252,0.013262599469496022,0.07692307692307693,0.8673740053050398
1269,025,2579,"WARD 10, PRECINCT 9",1477,207,498,46,161,95,327,397,2579,1,0.5727025979061652,0.08026366808840636,0.19309810003877473,0.15393563396665375,1950,0.017836370686312525,0.06242729740209384,0.03683598293912369,0.12679333074835208,0.7561070182241179
1270,025,2401,"WARD 22, PRECINCT 5",1171,139,299,36,38,20,108,792,2401,1,0.48771345272802996,0.05789254477301124,0.12453144523115368,0.32986255726780506,2199,0.014993752603082049,0.01582673885880883,0.008329862557267805,0.044981257809246146,0.9158683881715952
1271,025,1634,"WARD 6, PRECINCT 9",1525,11,47,336,31,17,79,51,1634,1,0.9332925336597307,0.006731946144430845,0.02876376988984088,0.031211750305997554,1171,0.20563035495716034,0.018971848225214197,0.01040391676866585,0.04834761321909425,0.7166462668298653
1272,025,1305,"WARD 16, PRECINCT 12",1141,72,27,598,39,39,51,65,1305,1,0.8743295019157088,0.05517241379310345,0.020689655172413793,0.04980842911877394,578,0.4582375478927203,0.029885057471264367,0.029885057471264367,0.03908045977011494,0.442911877394636
